종목명,임계값
나노메딕스,0.016538087278604507
KT&G,0.003726244904100895
바이오노트,0.012324360199272633
동아타이어,0.014047722332179546
광주은행,0.023438584059476852
신성에프에이,0.01817816123366356
삼양제넥우,0.07856764644384384
한신공영(1우B),0.05555858090519905
대우건설,0.01543833501636982
부광약품,0.007743998430669308
미스토홀딩스,0.12715774774551392
서울저축은행,0.03526920825242996
DSR,0.010235622525215149
아이엔지생명,0.01844668574631214
SK증권(1우B),0.040991734713315964
한화엔진,0.02173735946416855
일진홀딩스,0.008824693039059639
HDC아이콘트롤스,0.011867152526974678
한국제지,0.005815510172396898
다이나믹디자인,0.0345800444483757
KTB투자증권,0.008232509717345238
세기상사,0.011965879239141941
동아쏘시오홀딩스,0.012954125180840492
KPX화인케미칼,0.018314428627490997
동성화학,0.017097609117627144
봉신,0.02835966646671295
한미글로벌,0.00924037117511034
롯데제과,0.015919575467705727
동원시스템즈(1우),0.03709455952048302
